Unnamed: 0,ID,Department,Subject,Search Message,Move Message,Update Message
0,31641000073138085,31641000094473045,TLD Systems LLC Quarterly Bookkeeping for 2023,Already department same,,
1,31641000073138236,31641000094473045,QuantumEdge LLC Quarterly Bookkeeping for 2023,Already department same,,
2,31641000073138542,31641000094473045,IntelliTek Solutions Inc Quarterly Bookkeeping for 2023,,,
3,31641000073138701,31641000094473045,HSM Technologies LLC Quarterly Bookkeeping for 2023,,,
4,31641000074134668,31641000094473045,Genisis Technology Solutions Inc Bookkeeping for 2023,,,
5,31641000074134789,31641000094473045,Identity Software Solutions LLC Bookkeeping for 2023,,,
6,31641000074180467,31641000094473045,Lenus Inc Quarterly Bookkeeping for 2023,,,
7,31641000074180755,31641000094473045,Accede Solutions Inc Bookkeeping for 2023,,,
8,31641000074180911,31641000094473045,Sai Spice Village Inc ( Cool Mirchi) - Bookkeeping 2023,,,
9,31641000074210047,31641000094473045,JDM Chicago Inc Bookkeeping 2023,,,
10,31641000074210172,31641000094473045,Parkville Pharmacy LLC Bookkeeping for 2023,,,
11,31641000074210418,31641000094473045,AK83 LLC Quarterly Bookkeeping for 2023,,,
12,31641000074210652,31641000094473045,Fosfuros Inc Quarterly Bookkeeping for 2023,,,
13,31641000074210777,31641000094473045,Agasti LLC- Bookkeeping for 2023,,,
14,31641000074210890,31641000094473045,YBP Consulting Inc Quarterly Bookkeeping for 2023,,,
15,31641000074214124,31641000094473045,RAS Workforce LLC Quarterly Bookkeeping for 2023,,,
16,31641000074214354,31641000094473045,Aanyam Janakey Quarterly Bookkeeping for 2023,,,
17,31641000074214478,31641000094473045,Ispark Jewelry Inc Quarterly Bookkeeping for 2023,,,
18,31641000074214837,31641000094473045,Quicken Solar LLC Bookkeeping for 2023,,,
19,31641000074214950,31641000094473045,Tek IT Services Inc Quarterly Bookkeeping for 2023,,,
20,31641000074216071,31641000094473045,Fantasma Computing LLC Quarterly Bookkeeping for 2023,,,
21,31641000074474023,31641000094473045,Searc Init Technologies Inc Quarterly Bookkeeping for 2023,,,
22,31641000074486635,31641000094473045,Goldberry LLC Monthly Bookkeeping for 2023,,,
23,31641000077549243,31641000094473045,Dev Nirvaka LLC Quarterly Bookkeeping for year 2023,,,
24,31641000080095308,31641000094473045,Bell Care Pharmacy Group Inc-Bookkeeping for 2023,,,
25,31641000080207332,31641000094473045,Neuralzen LLC Quarterly Bookkeeping for 2023,,,
26,31641000082090335,31641000094473045,Sleep Matters Ltd Quarterly Bookkeeping for 2023,,,
27,31641000082871001,31641000094473045,Monika Solutions Inc Quarterly Bookkeeping 2023,,,
28,31641000083091118,31641000094473045,SK Informatics Inc - Quarterly Bookkeeping for 2023,,,
29,31641000083299480,31641000094473045,ByteWave LLC Quarterly Bookkeeping 2023,,,
30,31641000090756001,31641000094473045,AGN Tech LLC Quarterly Bookkeeping 2023,,,
31,31641000092363581,31641000094473045,Pulmonary & Critical Care Consultant Inc Bookkeeping 2023,,,
32,31641000094633001,31641000094473045,Seshidhar Amarapalli Consultation 2023,,,
33,31641000094980001,31641000094473045,S N Fuel LLC Quarterly Bookkeeping for 2023,,,
34,31641000095313723,31641000094473045,Fwd: Review your inactive organization,,,
35,31641000095327265,31641000094473045,test job for bookkeeping quarterly,,,
36,31641000095347455,31641000094473045,test job for bookkeeping Annual,,,
37,31641000095396090,31641000094473045,test job for bookkeeping monthly,,,
38,31641000095645057,31641000094473045,Regarding generating 1099 forms to vendors,,,
39,31641000095708082,31641000094473045,Synergy Software Solutions Inc Annual Bookkeeping Year 2023,,,
40,31641000095901931,31641000094473045,Eigenvals LLC Quarterly Bookkeeping 2023,,,
41,31641000096214001,31641000094473045,Aanyam Janakey LLC Quarterly Bookkeeping for 2024,,,
42,31641000096241770,31641000094473045,Fwd: [Scan] 2024-01-22 15:43,,,
43,31641000096315693,31641000094473045,AK83 LLC Quarterly Bookkeeping for 2024,,,
44,31641000096336810,31641000094473045,Fosfuros Inc Quarterly Bookkeeping for 2024,,,
45,31641000096339292,31641000094473045,Fantasma Computing LLC Quarterly Bookkeeping for 2024,,,
46,31641000096341506,31641000094473045,Genisis Technology Solutions Inc Bookkeeping for 2024,,,
47,31641000096347187,31641000094473045,Bell Care Pharmacy Group Inc-Bookkeeping for 2024,,,
48,31641000096453355,31641000094473045,AZ Culinary Chains LLC Quarterly Bookkeeping 2023,,,
49,31641000096455989,31641000094473045,Ispark Jewelry Inc Quarterly Bookkeeping for 2024,,,
50,31641000096467624,31641000094473045,HSM Technologies LLC Quarterly Bookkeeping for 2024,,,
51,31641000096468984,31641000094473045,Identity Software Solutions LLC Bookkeeping for 2024,,,
52,31641000096478998,31641000094473045,IntelliTek Solutions Inc Quarterly Bookkeeping for 2024,,,
53,31641000096507579,31641000094473045,JDM Chicago Inc Bookkeeping for 2024,,,
54,31641000096508471,31641000094473045,Lenus Inc Quarterly Bookkeeping for 2024,,,
55,31641000098958060,31641000094473045,Fwd: Re: Financials,,,
56,31641000100999037,31641000094473045,Cognautix Inc Quarterly Bookkeeping 2024,,,
57,31641000103254001,31641000094473045,Sleep Matters Ltd Quarterly Bookkeeping for 2024,,,
58,31641000103850948,31641000094473045,Re:[## 123302 ##] Hello,,,
59,31641000104235001,31641000094473045,Accede Solutions Inc Bookkeeping for 2024,,,
60,31641000106062001,31641000094473045,AGN Tech LLC Quarterly Bookkeeping 2024,,,
61,31641000107277570,31641000094473045,TLD Systems LLC Quarterly Bookkeeping for 2024,,,
62,31641000107285001,31641000094473045,Monika Solutions Inc Quarterly Bookkeeping for 2024,,,
63,31641000107287001,31641000094473045,Neuralzen LLC Quarterly Bookkeeping for 2024,,,
64,31641000107289001,31641000094473045,RAS Workforce Solutions LLC Quarterly Bookkeeping for 2024,,,
65,31641000107291001,31641000094473045,SK Informatics Inc Quarterly Bookkeeping for 2024,,,
66,31641000107291106,31641000094473045,Tek IT Services Inc Quarterly Bookkeeping for 2024,,,
67,31641000107294001,31641000094473045,YBP Consulting Inc Quarterly Bookkeeping for 2024,,,
68,31641000107296001,31641000094473045,S N Fuel LLC Monthly  Bookkeeping for 2024,,,
69,31641000107296094,31641000094473045,AZ Culinary Chains LLC Quarterly Bookkeeping for 2024,,,
70,31641000107298001,31641000094473045,Eigenvals LLC Quarterly Bookkeeping for 2024,,,
71,31641000107302001,31641000094473045,Parkville Pharmacy LLC Monthly Bookkeeping 2024,,,
72,31641000107303001,31641000094473045,Sai Spice Village Inc Monthly Bookkeeping 2024,,,
73,31641000107305001,31641000094473045,Pulmonary & Critical Care Consultant Inc Monthly Bookkeeping 2024,,,
74,31641000108093169,31641000094473045,Desi Bazaar LLC Monthly Bookkeeping for 2024,,,
75,31641000108756001,31641000094473045,TSK Consulting Ltd Financial Statement Preparation June 2024,,,
76,31641000109658333,31641000094473045,Reach Out from Spyder-Bookkeeping,,,
77,31641000110809031,31641000094473045,I need a professional book keeping trainer,,,
78,31641000111154106,31641000094473045,BrightWave LLC Quarterly Bookkeeping for 2024,,,
79,31641000111295001,31641000094473045,Shine and Sparkle Dentistry PLLC Quarterly Bookkeeping for 2024,,,
80,31641000112112001,31641000094473045,Adira International LLC Quarterly Bookkeeping Service 2024,,,
81,31641000112638336,31641000094473045,AGG Accrual financials for bank,,,
82,31641000112712001,31641000094473045,Access Global Group LLC Financials June 2024,,,
83,31641000114573626,31641000094473045,Fwd: Zoho Books - Your subscription is renewed,,,
84,31641000114601157,31641000094473045,Fwd: Re: Where do I get these documents from,,,
85,31641000114846187,31641000094473045,Re: CPA letter,,,
86,31641000115244435,31641000094473045,Adding Payee to zohobooks,,,
87,31641000117306229,31641000094473045,"Fwd: Important: Your organization, QuantumEdge LLC, in Zoho Books is inactive and scheduled for deletion – Review Now",,,
88,31641000118114971,31641000094473045,"Fwd: Your organization, QuantumEdge LLC, has been deleted",,,
89,31641000118824417,31641000094473045,Reg letter review,,,
90,31641000119010587,31641000094473045,Agasti LLC- Bookkeeping for 2024.,,,
91,31641000119075135,31641000094473045,Re:[## 137927 ##] Business Tax Fillings,,,
92,31641000119491707,31641000094473045,Hyderabad Wala Enterprise LLC Bookkeeping 2024,,,
93,31641000119800001,31641000094473045,Vishkee Technology LLC Quarterly Bookkeeping 2025,,,
94,31641000120255098,31641000094473045,1099 Watermark,,,
95,31641000120628447,31641000094473045,Fwd: Your trial of Zoho Books is over.,,,
96,31641000122711122,31641000094473045,Monika Solutions Inc Quarterly Bookkeeping for 2025,,,
97,31641000122711243,31641000094473045,Tek IT Services Inc Quarterly Bookkeeping for 2025,,,
98,31641000122711364,31641000094473045,TLD Systems LLC Quarterly Bookkeeping for 2025,,,
99,31641000122711473,31641000094473045,Genisis Technology Solutions Inc Bookkeeping for 2025,,,
100,31641000122711594,31641000094473045,Identity Software Solutions LLC Bookkeeping for 2025,,,
101,31641000122714215,31641000094473045,RAS Workforce Solutions LLC Quarterly Bookkeeping for 2025,,,
102,31641000122727142,31641000094473045,Bell Care Pharmacy Group Inc-Bookkeeping for 2025,,,
103,31641000122727263,31641000094473045,Hyderabad Wala Enterprise LLC Bookkeeping for 2025,,,
104,31641000122727384,31641000094473045,Pulmonary & Critical Care Consultant Inc Monthly Bookkeeping 2025,,,
105,31641000122730001,31641000094473045,Aanyam Janakey LLC Quarterly Bookkeeping for 2025,,,
106,31641000122730110,31641000094473045,BrightWave LLC Quarterly Bookkeeping for 2025,,,
107,31641000122730231,31641000094473045,Parkville Pharmacy LLC Monthly Bookkeeping 2025,,,
108,31641000122732122,31641000094473045,Adira International LLC Quarterly Bookkeeping 2025,,,
109,31641000122732243,31641000094473045,Ispark Jewelry Inc Quarterly Bookkeeping for 2025,,,
110,31641000122732364,31641000094473045,Lenus Inc Quarterly Bookkeeping for 2025,,,
111,31641000122732485,31641000094473045,Sai Spice Village Inc Monthly Bookkeeping 2025,,,
112,31641000122733001,31641000094473045,AGN Tech LLC Quarterly Bookkeeping 2025,,,
113,31641000122733122,31641000094473045,Shine and Sparkle Dentistry PLLC Quarterly Bookkeeping for 2025,,,
114,31641000122733235,31641000094473045,JDM Chicago Inc Bookkeeping for 2025,,,
115,31641000122734001,31641000094473045,AK83 LLC Quarterly Bookkeeping for 2025,,,
116,31641000122734110,31641000094473045,Accede Solutions Inc Bookkeeping for 2025,,,
117,31641000122735001,31641000094473045,AZ Culinary Chains LLC Quarterly Bookkeeping for 2025,,,
118,31641000122735122,31641000094473045,Neuralzen LLC Quarterly Bookkeeping for 2025,,,
119,31641000122736001,31641000094473045,Cognautix Inc Quarterly Bookkeeping 2025,,,
120,31641000122736122,31641000094473045,Eigenvals LLC Quarterly Bookkeeping for 2025,,,
121,31641000122737001,31641000094473045,YBP Consulting Inc Quarterly Bookkeeping for 2025,,,
122,31641000122737265,31641000094473045,S N Fuel LLC Bookkeeping for 2025,,,
123,31641000122739001,31641000094473045,Desi Bazaar LLC Monthly Bookkeeping for 2025,,,
124,31641000123687001,31641000094473045,Ramos Holdings LLC Financials Preparation 2024,,,
125,31641000124239241,31641000094473045,Invoice from NMG Inc for Satyanarayana R Kovvuri Tax Filing 2024,,,
126,31641000124299108,31641000094473045,Invoice from NMG Inc for Phani Mutyala Tax Filing 2024,,,
127,31641000124301247,31641000094473045,Invoice from NMG Inc for Vivek C Abraham Tax Filing 2024,,,
128,31641000124304120,31641000094473045,Invoice from NMG Inc for Vineet Solanki Tax Filing 2024,,,
129,31641000124309120,31641000094473045,Invoice from NMG Inc for Subha Ramesh Tax Filing 2024,,,
130,31641000124311124,31641000094473045,Invoice from NMG Inc for Lokesh Venkata Tax Filing 2024,,,
131,31641000125608001,31641000094473045,ACCESS GLOBAL GROUP LLC Bookkeeping for 2025,,,
132,31641000125649455,31641000094473045,Sales Tax records -- Not uploaded ?,,,
133,31641000126877122,31641000094473045,SRDC Energy Concept Corp Quarterly Bookkeeping for 2025,,,
134,31641000128500001,31641000094473045,Health Apogee LLC - Bookkeeping for Year 2025,,,
135,31641000129070246,31641000094473045,BMO E-statement Delivery Notification,,,
136,31641000130919001,31641000094473045,Aristera Collections INC Bookkeeping Year 2025,,,
137,31641000132448001,31641000094473045,A&K Companies LLC Bookkeeping January to July 2025,,,
138,31641000133021001,31641000094473045,Omniskope Inc Bookkeeping for 2024,,,
139,31641000133505166,31641000094473045,Re: Practice Closure,,,
140,31641000135501003,31641000094473045,S N Fuel LLC-Zoho Books Review,,,
141,31641000135511001,31641000094473045,SRDC Energy Concept Corp -  Zoho Books Review,,,
142,31641000135511120,31641000094473045,AZ Culinary Chains LLC-Zoho Books Review,,,
143,31641000135511243,31641000094473045,Eigenvals LLC-Zoho Books LLC,,,
144,31641000135514001,31641000094473045,Vishkee Technology LLC-Zoho Books Review,,,
145,31641000135515001,31641000094473045,Hyderabad Wala Enterprise LLC-Zoho Books Review,,,
146,31641000135515108,31641000094473045,AGN Tech LLC- Zoho Books Review,,,
147,31641000135516001,31641000094473045,Adira International LLC-Zoho Books Review,,,
148,31641000135516120,31641000094473045,BrightWave LLC-Zoho Books Review,,,
149,31641000135516239,31641000094473045,Ispark Jewelry Inc-Zoho Books Review,,,
150,31641000135516346,31641000094473045,SK Informatics Inc-Zoho Books Review,,,
151,31641000135517001,31641000094473045,RAS Workforce Solutions LLC- Zoho Books Review,,,
152,31641000135518001,31641000094473045,Monika Solutions Inc- Zoho Books Review,,,
153,31641000135518124,31641000094473045,TLD Systems LLC-Zoho Books Review,,,
154,31641000135519001,31641000094473045,YBP Consulting Inc- Zoho Books Review,,,
155,31641000135520001,31641000094473045,Aanyam Janakey LLC- Zoho Books Review,,,
156,31641000135520112,31641000094473045,Lenus Inc- Zoho Books Review,,,
157,31641000135521001,31641000094473045,Neuralzen LLC-Zoho Books Review,,,
158,31641000135821001,31641000094473045,Tek IT Services Inc Zoho Books Review,,,
159,31641000135823001,31641000094473045,Vamana Systems Inc Zoho Books Review,,,
160,31641000135824001,31641000094473045,Sai Spice Village Inc Zoho Books Review,,,
